Vocabulary,English,Thai,Example,Phonetic,Synonyms,Antonyms
interfere,[V] to get in the way of something,,Don't let personal issues interfere with work.,ihntuh-feer,"interpose, intervene, step in",
propose,[V] to suggest an idea,,I'd like to propose a new approach.,pruh-puhuuz,"project, purpose, advise, purport, suggest",
provide that,"[Conj] only if, as long as",,"You may leave early, provide that your work is done.",,,
solitary,"[Adj] alone, by yourself",,He prefers solitary work over teamwork.,sahlihtri,"only, inaccessible, unaccompanied, lonely, eremitic",
spare,"[Adj] extra, not being used",,Do you have a spare charger?,spair(r),"superfluous, free, lean, bare, redundant",
upon,[Prep] on / when something happens,,"Upon arrival, please check in at the front desk.",uh-pahn,,
given,"[Prep] thinking about, considering",,"Given the budget, this is the best option.",gih-vuhn,"presumption, acknowledged, relinquished, conferred, bestowed",taken
remarkable,"[Adj] really impressive, worth noticing",,She made remarkable progress this quarter.,rih-mahkuhbl̩,"abnormal, queer, singular, eminent, extraordinary","normal, unremarkable"
strict,[Adj] very serious about rules,,The company has strict deadlines.,strihkt,"stern, severe, rigid, rigorous, exacting","lax, lenient, permissive"
deteriorate,[V] to become worse over time,,The road conditions have deteriorated.,dih-teerreerrayt,"degenerate, go off, nerf, weaken, worsen","ameliorate, better, improve"
occupy,[V] to live in or use a space,,The new tenant will occupy the office next week.,ahkyuupeye,"coitize, go to bed with, sleep with, busy, employ",
carry,[V] to hold and move something / carry out = do it,,Please carry out the instructions carefully.,ka-ri,"convey, conduct, hold, express, run",
complement,[N/V] something that goes well with another thing,,The new software complements our existing system.,kahmpluhmuhnt,full complement,
remit,[V] to send money as payment,,Please remit payment within 30 days.,rih-miht,"brief, responsibility",
occasionally,"[Adv] sometimes, not very often",,I occasionally work from home.,uh-kayzhnuhli,"on occasion, once in a while, now and then, at times, now and again",
vaguely,"[Adv] not clearly, only a little bit",,I vaguely remember the meeting details.,vaygli,mistily,
substantially,"[Adv] by a lot, a big amount",,Sales have increased substantially this year.,,"well, considerably",
in advance of,[Prep] before,,Please submit your report in advance of the meeting.,,,
on behalf of,"[Prep] for someone, representing someone",,I'm writing on behalf of the marketing team.,,,
importance,[N] how much something matters,,The importance of teamwork cannot be overstated.,ihm-pawtuhns,grandness,unimportance
important,[Adj] matters a lot,,It's important to meet the deadline.,ihm-pawtuhnt,"eminent, profound, significant, portentous, prodigious","insignificant, unimportant, noncrucial"
performance,[N] how well you do something / a show,,His performance review was excellent.,[puh-faw-muhns],"execution, operation, functioning, doing, carrying out",
delegation,[N] a group of people sent to represent others,,A delegation from Japan visited our office.,dehlih-gayshuhn,"commission, mission, delegacy, deputation, relegation",
deliberation,[N] thinking carefully before deciding,,"After much deliberation, we chose vendor B.",dih-lihbuh-rayshuhn,"calculation, unhurriedness, slowness, deliberateness, advisement",
precede,[V] to come before something,,A welcome speech will precede the main event.,pri-sid,forego,succeed
pricy,"[Adj] costs a lot, expensive",,The restaurant is good but a bit pricy.,,"expensive, costly, high-priced, dear, pricey",
praise,[V/N] to say someone did a good job,,The manager praised the team for their hard work.,prayz,"kudos, congratulations","criticize, criticise, pick apart"
subject to,[PhrV] depends on / might be affected by,,The offer is subject to availability.,,,
accommodation,"[N] a place to stay (hotel, room, etc.)",,The hotel offers excellent accommodation.,uh-kahm-uh-day-shuhn,"adjustment, fitting",
account,[N] where you keep money at a bank / a description,,I'd like to open a savings account.,uh-kownt,"chronicle, score, report, explanation, history",
apologize,[V] to say sorry,,I apologize for the inconvenience.,uh-pahluhd͡zheyez,"excuse, justify, rationalize, apologise",
appointment,[N] a time you planned to meet someone,,I have a dentist appointment at 3 PM.,uh-poynt-mehnt,"engagement, designation, date, assignment, appointee",
arrange,[V] to plan and set things up,,Can you arrange a meeting for Friday?,uh-rayny,"order, set, stage, set up, coif",disarrange
baggage,[N] bags you bring when traveling,,Please collect your baggage at carousel 3.,bagihy,"bags, gear, luggage, stuff",
balance,[N] how much money is left / being steady,,Check your account balance online.,baluhns,"equilibrium, account, scales, weighbridge, weighing machine","imbalance, nonequilibrium, unbalance"
bargain,[N/V] something cheap and good / to talk about price,,This laptop was a real bargain.,-gihn,"contract, engagement, stipulation, purchase, rip-off",
beverage,[N] any drink,,Would you like a beverage with your meal?,bevuhrihy,drink,
bill,[N] a paper that shows how much you need to pay,,"Can I have the bill, please?",bihl,"charge, account, peak, measure, note",
budget,[N] a plan for how to spend money,,We need to stay within budget.,buhy-iht,low-cost,
cancel,[V] to stop something that was planned,,I need to cancel my reservation.,kansl̩,"offset, natural, set off, invalidate, call off",
cash,[N] real money (coins and paper bills),,Do you accept cash?,kash,"cash in, immediate payment","deferred payment, credit"
clinic,[N] a small place where you see a doctor,,The clinic opens at 8 AM.,klihnihk,,
colleague,[N] someone you work with,,My colleague will assist you.,kahlig,"coworker, workmate",
commute,[V/N] to travel to work / the trip to work,,My daily commute takes about 45 minutes.,kuh-myut,"convert, change, exchange, transpose, permute",
complain,[V] to say you are not happy about something,,Several customers complained about the delay.,kuhm-playn,"plain, kvetch, quetch, kick, sound off","cheer, chirk up, cheer up"
confirm,[V] to make sure something is correct or true,,Can you confirm the booking?,kuhn-fɜm,"sustain, affirm, support, corroborate, substantiate","negate, contradict"
convenient,[Adj] easy and comfortable to use or do,,Is Thursday convenient for you?,kuhn-viniuhnt,"easy, expedient, simple",inconvenient
credit,[N] money added to your account / praise for doing well,,Your account has been credited.,krehdiht,"recognition, reference, accredit, mention, quotation","cash, debit, debit entry"
customer,[N] a person who buys something,,The customer is always right.,kuhstuhmuh,client,
delay,[V/N] to make something late / waiting longer than expected,,We apologize for the delay.,dih-lay,"calm, moderate, quell, cunctation, hold-up",
deliver,[V] to bring something to someone,,We can deliver by next Tuesday.,dih-lihvuh(r),"come through, come up with the goods, outbring, utter, free",
depart,[V] to leave a place,,The train departs at 9:15 AM.,dih-paht,"part, deviate, start, stray, digress","conform, come, stay"
deposit,[V/N] to put money into a bank / money paid first,,A deposit of $200 is required.,dih-pahziht,"repository, pose, posit, bank, stick","free, draw, withdraw"
destination,[N] the place you are going to,,What is your final destination?,dehstih-nayshuhn,"address, terminus, goal, name and address",
discount,"[N] a lower price, money off",,We offer a 20% discount for members.,dihs-kownt,"disregard, dismiss, ignore, brush off, brush aside",
document,[N] an official paper or file,,Please sign the document.,dahkyuumuhnt,"papers, text file, written document",
equipment,[N] tools or machines you need for a job,,All safety equipment must be worn.,ih-kwihpmuhnt,,
essential,"[Adj] you really need it, very important",,Good communication is essential.,ih-sehn-shuhl,"substantial, crucial, important, indispensable, requisite","adjective, inessential, nonessential"
estimate,[V/N] to guess how much / a rough number,,Can you give me a cost estimate?,ehstihmiht,"idea, reckon, figure, gauge, appraisal",
exchange,[V/N] to give one thing and get another,,I'd like to exchange this item.,ehks-chayny,"convert, change, interchange, commute, switch",
expect,[V] to think something will happen,,We expect the shipment by Friday.,ehk-spehkt,"look, carry, anticipate, require, gestate",
facility,[N] a building made for a special purpose,,The facility includes a gym and pool.,fuh-sihlihti,"proficiency, privy, adroitness, john, technique",
fare,"[N] the price of a bus, train, or taxi ride",,The bus fare is $2.50.,fair(r),"come, make out, do, get along, menu",
feedback,[N] what people say about how you did,,We value your feedback.,fid-bak,,
flight,[N] a trip on an airplane,,My flight was delayed by two hours.,fleyet,"escape, trajectory, fledge, flying, flight of stairs",
frequent,"[Adj] happens a lot, often",,She is a frequent visitor to our store.,fri-kwuhnt,"common, predominant, steady, regular, patronize","infrequent, boycott"
grocery,[N] food and things you buy at a supermarket,,I need to pick up some groceries.,gruhuus(uh)ri,"market, foodstuff, grocery store",
guarantee,[V/N] a promise that something will work or happen,,We guarantee delivery within 3 days.,garuhn-ti,"assure, secure, ensure, undertake, insure",
handle,"[V] to take care of something, deal with it",,She handles customer complaints very well.,han-dl,"address, work, hold, manage, cover",
hire,[V] to give someone a job,,We plan to hire 10 new employees.,heyeuh,"employ, employment",
improve,[V] to make something better,,We're working to improve our service.,ihm-pruv,"ameliorate, meliorate, better, amend","decline, exacerbate, aggravate"
include,[V] to have something as part of it,,The price includes breakfast.,ihn-klud,"admit, let in","omit, exclude, shut"
inform,[V] to tell someone about something,,Please inform us of any changes.,ihn-fawm,,
install,[V] to set up something new so it's ready to use,,A technician will install the software.,ihn-stawl,"establish, set up, put in, instal",
interview,[N/V] a meeting where someone asks you questions (for a job),,I have a job interview tomorrow.,ihntuhvyu,"question, audience, consultation",
invest,[V] to put money into something hoping to get more back,,She decided to invest in stocks.,ihn-vehst,"endow, empower, induct, adorn, endue",divest
invoice,[N] a paper that asks for payment,,The invoice is due within 30 days.,ihn-voys,shipment,
issue,[N/V] a problem / to give out officially,,There's an issue with the printer.,ihsyu,"charge, sally, sortie, descendant, fruit of one's loins",
luggage,[N] bags and suitcases for traveling,,Keep your luggage with you at all times.,luhgihd͡zh,baggage,
maintain,[V] to keep something working well,,We maintain high quality standards.,mayn-tayn,"assert, sustain, observe, hold, preserve",
manage,[V] to be in charge of something,,He manages a team of 15 people.,manihy,"contend, handle, grapple, deal, wangle",fail
meal,"[N] food you eat at one time (breakfast, lunch, dinner)",,The meal was delicious.,mil,repast,
medicine,[N] something you take when you're sick,,Take this medicine twice a day.,med(ih)-sn,"drug, elixir, pharmaceutical, prescription, course",
meeting,[N] when people come together to talk about something,,The meeting starts at 10 AM.,mitihng,"confluence, encounter, get together, merging, coming together",
notice,[N/V] a sign or message / to see something,,Did you notice the new sign?,nuhuutihs,"heed, regard, recognize","ignore, neglect"
offer,[V/N] to say you will give or do something,,They offered me the position.,ahfɚ,"tender, crack, pass, fling, provide",
operate,[V] to use a machine / to run a business,,The machine is easy to operate.,ahpuhrayt,"control, work, engage, function, run","withdraw, malfunction, disengage"
order,[N/V] to ask to buy something / to tell someone what to do,,"I'd like to order the chicken, please.",awduh,"range, tell, society, rank, club","disarray, disorder, deregulate"
organize,[V] to plan and arrange things,,Who organized this event?,awguhneyez,"direct, form, devise, coordinate, orchestrate",disorganize
participate,[V] to join in and be part of something,,Everyone is encouraged to participate.,pah-tihsihpayt,"take part, enter","give up, quit, leave"
passenger,"[N] a person riding in a bus, train, or plane",,All passengers must fasten their seatbelts.,pasuhnd͡zhuh,rider,
patient,[N/Adj] a sick person at a hospital / able to wait calmly,,Please be patient — we'll be with you shortly.,payshuhnt,"diligent, enduring, tolerant, unhurried, longanimous",impatient
payment,[N] money you give to pay for something,,Payment is due on the 1st of each month.,paymuhnt,scot,
postpone,[V] to move something to a later time,,The event has been postponed to next week.,pohst-pohn,"defer, delay, forestay, posticipate, procrastinate","advance, antedate, bring forward"
prepare,[V] to get ready,,Please prepare the presentation by Friday.,prih-pair,"set, develop, devise, train, set up",
prevent,[V] to stop something bad from happening,,Wearing a mask helps prevent the spread.,pruh-vehnt,"preclude, forestall, keep, forbid, foreclose","allow, permit, let"
provide,[V] to give what is needed,,We provide free Wi-Fi for all guests.,pruh-veyed,"render, supply, ply, offer, put up",
purchase,[V/N] to buy something,,You can purchase tickets online.,pɜchuhs,"contact, grip, hold, foothold, support",
purpose,[N] the reason why you do something,,What is the purpose of your visit?,pɜpuhs,"resolve, determination, function, use, purport",
receipt,[N] a paper that proves you paid,,Would you like a receipt?,rih-sit,"acknowledge, reception, receiving",
receive,[V] to get something,,I received your email this morning.,rih-siv,"experience, obtain, encounter, have, incur",say farewell
recipe,[N] steps for how to cook something,,Can you share the recipe?,rehs-uh-pi,formula,
recommend,[V] to tell someone they should try something,,I highly recommend this restaurant.,rehkuh-mehnd,"advocate, urge, commend",
refund,[N/V] money you get back when you return something,,I'd like to request a refund.,,"return, repayment, repay, give back",
repair,[V/N] to fix something broken,,The elevator is under repair.,rih-pair,"mend, reparation, resort, restore, fix","break, bust"
replace,[V] to put a new one in place of the old one,,We'll replace the defective item for free.,rih-plays,"substitute, supersede, supplant, put back, supervene upon",
request,[N/V] to ask for something politely,,I'd like to request a day off.,rih-kwehst,"bespeak, petition, call for, asking, quest",
require,[V] to need something,,This position requires 3 years of experience.,rih-kweyeuh,"compel, necessitate, command, demand, want","obviate, eliminate, rid of"
reservation,"[N] when you book a table, room, or seat ahead of time",,I have a reservation under the name Smith.,rehzuh-vayshuhn,"res, reserve, rez, booking, median",
resign,[V] to quit your job,,He resigned from his position last month.,rih-zeyen,"renounce, reconcile, submit, give up, vacate",
respond,[V] to answer or reply,,Please respond by end of day.,,"answer, reply, react",
resume,[N] a paper that lists your work experience and skills,,Please attach your resume to the application.,ruh-zyum,"survey, sketch, curriculum vitae, summarize, restart",
retail,[N/Adj] selling things directly to people in shops,,She works in retail.,ri-tayl,,"explain, wholesale"
review,[V/N] to look at something again carefully / an opinion,,Let's review the contract before signing.,rih-vyu,"survey, critique, inspection, retrospect, recap",
salary,[N] money you get every month for your job,,The salary is negotiable.,salɚi,"remuneration, wage, earnings, pay",
schedule,[N/V] a plan of when things will happen,,What's your schedule like next week?,skeh-yu-uhl,"docket, agenda",
service,[N] help that a business gives to customers,,The service here is excellent.,sɜvihs,"avail, serve, overhaul, serving, servicing","disservice, ill turn, ill service"
shift,"[N] a set time you work (morning shift, night shift)",,I'm working the night shift.,shihft,"lurch, pitch, slip, transformation, careen",
signature,[N] your name written in your own style,,Please put your signature here.,sihgnuhchuh,"sig, siggy",
staff,[N] all the people who work at a place,,All staff must attend the training.,staf,"faculty, stave",
submit,[V] to give or send something officially (like a form),,Please submit the form by Friday.,suhb-miht,"accede, render, state, present, reconcile",
suggest,[V] to give an idea for someone to think about,,I suggest we start earlier.,suh-yehst,"intimate, evoke, indicate, advise, hint",contraindicate
supply,[N/V] things available to use / to give what is needed,,We supply office equipment nationwide.,suh-pleye,"render, issue, provide, provision, append","demand, recall"
symptom,[N] a sign that you are sick (like fever or cough),,What are your symptoms?,sihm(p)tuhm,,
target,[N] a goal you want to reach,,We exceeded our sales target.,tahgiht,target language,
temporary,"[Adj] only for a short time, not forever",,This is a temporary arrangement.,tehmpuhri,"ephemeral, transient, evanescent, temporal, transitory","lasting, permanent"
ticket,[N] a paper or card that lets you enter or travel,,I booked a round-trip ticket.,tihkiht,fine,
tip,[N] a helpful idea / extra money you give for good service,,Here's a useful tip for the exam.,tihp,"crest, lead, point, lean, tilt",
traffic,[N] cars and vehicles on the road,,Traffic is heavy during rush hour.,trafihk,dealings,
transaction,[N] when money is paid or received (a deal),,The transaction was completed successfully.,tran-zakshuhn,"dealing, dealings",
transfer,[V/N] to move something from one place to another,,I need to transfer money to another account.,tranzfɜ,"transferal, transference, transfer student, copy, transpose",
transport,[V/N] to move people or things from place to place,,Public transport is very convenient here.,,"conveyance, ferry, moving, relocation, shifting",
travel,[V/N] to go to another place,,I travel for work twice a month.,travuhl,"jaunt, trip, move, journey, locomotion",stay in place
update,[V/N] to give the newest info / to make something current,,I'll update you after the meeting.,,,
urgent,[Adj] needs to be done right now,,This is an urgent matter.,ɜyuhnt,"imperative, pressing",
vacation,[N] time off from work to relax,,I'm going on vacation next week.,vay-kaysh(uh)n,holiday,
valid,"[Adj] still works, still accepted (not expired)",,Is your passport still valid?,valihd,"sound, legitimate, logical, binding, reasoned",invalid
vehicle,"[N] something you drive (car, truck, bus)",,Only authorized vehicles may enter.,vih(uh)-kuhl,,
warranty,[N] a promise to fix or replace if it breaks,,The warranty covers repairs for one year.,wah-ruhn-ti,"guarantee, warrant",
withdraw,[V] to take money out of your bank,,I need to withdraw some cash.,wihth-draw,"draw, recall, retreat, sequester, recede","engage, operate, bank"
accomplish,[V] to finish something successfully,,We accomplished all our goals this quarter.,uh-kuhm-plihsh,"achieve, carry out, complete, consummate, do",
acquire,[V] to get or buy something,,The company acquired a smaller firm.,uh-kweyeuh,"produce, develop, take, adopt, get",
allocate,[V] to decide how to share or divide something,,We need to allocate more budget to marketing.,al-uh-kayt,apportion,
amend,[V] to make small changes to fix a document,,The contract was amended to include new terms.,uh-mehnd,"ameliorate, correct, improve",
auditor,[N] a person who checks if money records are correct,,The auditor found no irregularities.,awdihtuh(r),"listener, hearer",
bankrupt,[Adj/V] having no money to pay what you owe,,The company went bankrupt last year.,bang-kruhpt,"break, ruin, insolvent",
capacity,[N] the most something can hold / ability to do something,,The venue has a capacity of 500 people.,kuh-pasihti,throughput,
collaborate,[V] to work together with others,,Our teams will collaborate on this project.,kuh-labuhrayt,"get together, join forces, cooperate",
compensation,[N] money or reward you get for work or loss,,Employees receive fair compensation.,kahmpehn-sayshuhn,recompense,
comprehensive,"[Adj] covers everything, very complete",,We offer a comprehensive training program.,kahm-prih-hehn-sihv,"broad, extensive, panoptic, general, large","incomprehensive, noncomprehensive"
consensus,[N] when everyone agrees,,The board reached a consensus.,,general agreement,dissensus
deduct,[V] to take away an amount (from pay or total),,Taxes are deducted from your salary.,dih-duukt,"infer, derive, deduce, withhold, recoup","add, add together"
deficit,[N] when you spend more than you have,,The company reported a budget deficit.,dehfihsiht,"shortfall, shortage",
eligible,[Adj] allowed to do something because you meet the rules,,You are eligible for a promotion.,ehlihyuhb(uh)l,"suitable, desirable, in line, entitled, legal",ineligible
evaluate,[V] to check how good something is,,We evaluate performance annually.,ih-valyuuayt,"assess, appraise, value, measure",
executive,[N/Adj] a high-level manager in a company,,She's a senior executive at the firm.,ehg-zehkyuutihv,"executive director, administrator",
fluctuate,[V] to keep going up and down,,Prices tend to fluctuate during the holidays.,,"vacillate, waver",
implement,[V] to start using a plan or idea,,We will implement the new policy next month.,ihmpluhmuhnt,"apply, utilize, carry out, enforce, go through","free, exempt, relieve"
incentive,[N] something that makes you want to work harder (like a bonus),,Bonuses are a great incentive for employees.,ihn-sehntihv,"inducement, bonus","deterrence, disincentive"
inventory,[N] a list of all items a store or company has,,We need to check the inventory.,ihn-vehn-tuh-ri,"stock, armory, stocktaking, armoury, inventorying",
liability,[N] something you are responsible for / money you owe,,The company denied any liability.,leyeuh-bihlihti,"indebtedness, pecuniary obligation, financial obligation","plus, asset"
lucrative,[Adj] makes a lot of money,,It turned out to be a lucrative investment.,,"remunerative, profitable, moneymaking",
mandatory,"[Adj] you must do it, required",,Attendance is mandatory for all staff.,man-duh-t(uh)ri,"obligatory, compulsory, required, mandatary",
merge,[V] to join two things into one,,The two companies decided to merge.,mɜy,"coalesce, conflate, fuse, commingle, unite","unambitiously, disunify, break apart"
negotiate,[V] to talk and try to reach a deal,,We're still negotiating the contract terms.,nuh-guhuu-shi-ayt,"negociate, talk terms",
obsolete,"[Adj] too old, no one uses it anymore",,This technology is now obsolete.,ahbsuhlit,"abortive, obscure, rudimental, antiquated, deprecated",
penalty,"[N] a punishment, usually money you have to pay",,There's a penalty for late payment.,pehnuhlti,"punishment, punition, sentence",
personnel,[N] the people who work at a company,,Contact the personnel department for details.,-el,force,
preliminary,"[Adj] first step, before the main thing",,The preliminary results look promising.,prih-lihmihnuhri,"initial, introductory, preparatory","definitive, final"
prominent,[Adj] famous and important,,She's a prominent figure in the industry.,prahmihnuhnt,"attention-grabbing, eye-catching, flashy, eminent, forestanding",
revenue,[N] money a business earns,,Revenue increased by 15% this quarter.,rehvuhnyu,"gross, taxation, tax revenue, receipts, tax income",
scrutinize,[V] to look at something very carefully,,The auditor scrutinized every transaction.,skrutihneyez,"inspect, audit, take stock, size up",
strategy,[N] a plan to reach a goal,,We need a new marketing strategy.,stratuhyi,generalship,
subsidiary,[N] a smaller company owned by a bigger one,,The subsidiary operates in three countries.,suhb-sih-di-uhr-i,"subordinate, adjunct, auxiliary, ancillary, adjuvant",
tenant,[N] a person who pays to live in someone's place,,The tenant signed a two-year lease.,teh-nuhnt,renter,
terminate,[V] to end something / to fire someone from a job,,His contract was terminated early.,tɜmihnayt,"dismiss, fire, cease, end, sack","engage, employ, commence"
unanimous,"[Adj] everyone agrees, no one disagrees",,The decision was unanimous.,yu-nanihmuhs,"solid, accordant, consentaneous, unvaried, consentient",
vendor,[N] a person or company that sells things,,We're looking for a new vendor.,vehn-duh,"trafficker, vender, seller",
versatile,[Adj] can do many different things well,,She's a versatile employee who can do many tasks.,vɝsuhtl̩,"skilled, various, varied, variable, flexible",
yield,[V/N] to produce or give / profit from an investment,,The investment yielded a 10% return.,yild,"bear, capitulate, cede, defer, give in",
absolutely,"[Adv] 100%, totally, for sure","[Adv] อย่างแน่นอน, อย่างสมบูรณ์",I absolutely agree with you.,ab-suh-l(y)ut-lih,"dead, utterly, perfectly",
access,[N/V] a way to get in or use something,"[N/V] การเข้าถึง, เข้าถึง",Employees can access the system remotely.,aksehs,"approach, entree, admittance, memory access, get at",
achievement,[N] something great you did,"[N] ความสำเร็จ, ผลงาน",Winning the award was a great achievement.,uh-chivmuhnt,accomplishment,
acknowledge,[V] to say you know about something or accept it,"[V] ยอมรับ, รับทราบ",Please acknowledge receipt of this email.,uhk-nah-lihy,"admit, allow, avow, concede, confess",
adapt,[V] to change yourself to fit a new situation,"[V] ปรับตัว, ดัดแปลง",You need to adapt to the new system.,uh-dapt,"embrace, accommodate, conform, espouse, adjust",
adequate,"[Adj] enough, good enough","[Adj] เพียงพอ, พอเหมาะ",The budget is adequate for this project.,,"acceptable, correspondent, proportionate, satisfactory, sufficient",inadequate
adjust,[V] to change a little to make it better,"[V] ปรับ, แก้ไข",We need to adjust the schedule.,uh-yuhst,"set, conform, adapt, align, line up",skew
administration,[N] the people who run a company or organization,"[N] การบริหาร, ฝ่ายบริหาร",The administration approved the request.,uhd-mihnuh-strayshuhn,"conduct, governing, management, organization, regulation",
adopt,[V] to start using something new / to take a child as your own,"[V] นำมาใช้, รับเลี้ยง",The company adopted a new policy.,uh-dahpt,"acquire, take, espouse, assume, follow",
advance,[N/V] to move forward / ahead of time,"[N/V] ความก้าวหน้า, ล่วงหน้า",Please book in advance.,uhd-vans,"accelerate, adduce, aggrandize, allege, assign","regress, regression, retract"
agenda,[N] a list of things to talk about in a meeting,"[N] วาระการประชุม, กำหนดการ",What's on today's agenda?,uh-yehn-duh,"docket, schedule, worklist",
aggressive,[Adj] very strong and pushy,"[Adj] ก้าวร้าว, เชิงรุก",They took an aggressive marketing approach.,uh-grehs-ihv,"belligerent, rapacious, contentious, truculent, assertive","unaggressive, nonaggressive"
alternative,[N/Adj] another choice,[N/Adj] ทางเลือก,Is there an alternative solution?,ahl-tɜ(r)-nuh-tihv,"unconventional, choice, option, secondary, disjunctive",
annual,[Adj] happens once a year,[Adj] ประจำปี,The annual report will be published next week.,an-yu-uhl,"yearly, one-year, yearbook","perennial, scouring, biennial"
anticipate,[V] to expect something to happen,"[V] คาดการณ์, คาดหวัง",We anticipate strong demand this quarter.,an-tihs-ih-payt,"call, forestall, foretell, occur, foresee",
apparent,"[Adj] easy to see, obvious","[Adj] ชัดเจน, เห็นได้ชัด",It was apparent that changes were needed.,uh-pa-ruhnt,"ostensible, manifest, plain, evident, obvious",
applicant,[N] a person who applies for a job,[N] ผู้สมัคร,We received 200 applicants for the position.,ap-luh-kihnt,applier,
appropriate,[Adj] right for the situation,[Adj] เหมาะสม,Please wear appropriate attire.,,"pertinent, apropos, seize, proper, right",inappropriate
approval,"[N] saying yes, giving permission",[N] การอนุมัติ,The project is pending approval.,uh-pruvuhl,"commendation, blessing, approving, favorable reception",disapproval
aspect,[N] one part or side of something,"[N] แง่มุม, ด้าน",We need to consider every aspect of the plan.,aspehkt,"appearance, blee, look, facet",
assess,[V] to look at something and decide how good it is,[V] ประเมิน,We'll assess the situation and decide.,uh-sehs,"appraise, evaluate, value, measure, tax",
assign,[V] to give someone a task to do,[V] มอบหมาย,The manager assigned tasks to each team member.,uh-seyen,"arrogate, attribute, ascribe, delegate, designate",
associate,[V/N] to connect things together / a coworker,"[V/N] เชื่อมโยง, ผู้ร่วมงาน",He's an associate at the law firm.,uh-suhuusi-uht,"familiar, companion, fellow, link, comrade",dissociate
assume,[V] to think something is true without checking,"[V] สันนิษฐาน, รับหน้าที่",I assume you've read the report.,uh-sum,"arrogate, acquire, sham, presume, take",
assure,[V] to tell someone everything will be okay,"[V] รับรอง, ทำให้มั่นใจ",I assure you the issue will be resolved.,uh-shaw,"ascertain, control, secure, see, check",worry
authorize,[V] to give official permission,"[V] อนุญาต, ให้อำนาจ",Only managers can authorize purchases over $500.,ahthuhreyez,"clear, pass, authorise",
aware,[Adj] you know about it,"[Adj] ตระหนัก, รู้ตัว",Are you aware of the new policy?,uh-wer,"evocative, cognizant, redolent, knowledgeable, mindful","unaware, mindless, unwitting"
bid,[N/V] to offer a price / an offer in a competition,"[N/V] การเสนอราคา, ประมูล",Three companies submitted bids for the project.,bihd,"tender, command, entreat, call, adjure",
boost,[V/N] to make something go up or get better,"[V/N] เพิ่ม, กระตุ้น",The campaign helped boost sales.,bust,"advance, encourage, promote, rise, further",
brief,[Adj/V] short and quick / to give someone key info fast,"[Adj/V] สั้น, กระชับ, สรุปให้ฟัง",Let me give you a brief overview.,brif,"concise, short, little, abbreviated, legal brief",
candidate,[N] a person trying to get a job or position,"[N] ผู้สมัคร, ตัวเลือก",She's the top candidate for the job.,kan-dihduht,"prospect, nominee, campaigner",
capable,[Adj] able to do something well,[Adj] มีความสามารถ,He's very capable of handling the project.,kaypuhbl̩,"adequate, competent, susceptible, confident, resourceful",incapable
